parcel1,parcel2,parcel_num,parcel_add
302    006U,,,300 JOE CAREY DR
171B6 A001,,,300 N THOMAS ST
121B5 D013,,,301 JOANNE CT
242    005C,,,301 PETTIT LN
131A3 L010,,,304 TOWNSHIP LN
181A3 A038,,,305 DAVIS ST
102A4  060,,,305 FAIRLANE DR
182D2 F009,,,305 TALL PINE LN
173A1 D009,,,306 W RUTHERFORD ST
121B2 C021,,,310 CLOVER ST
112A2 A001,,,310 NASSAU LN
121A4 E005,,,310 PINE FOREST DR
122A3 A011D,,,310 PRICE AVE
173C2 F019,,,310 SOUTHVIEW DR
182A1 A017,,,310 SPALDING CIR
114D4 C002,,,315 DUBOSE AVE
132B1 F004,,,315 DUNCAN SPRINGS RD
132A  C003,,,315 RIVERVIEW RD
171C1 A002D,,,315 S POPE ST
171C1 A002L,,,315 S POPE ST
073A3  011,,,320 LOGMONT TRCE
124D1 A028A,,,320 WEST LAKE DR
171C4 B004,,,323 S CHURCH ST
121C1 E005,,,325 RIVERMONT RD
171C4 B006,,,327 S CHURCH ST
174B6 A008,,,329 EDGEWATER DR
214A1 C017,,,329 OLD PITTARD RD
121B5 E016,,,330 HAMPTON PARK DR
163A3 B041,,,330 MACON AVE
184A2 B010,,,330 SNAPFINGER DR
121B5 F011,,,335 HAMPTON PARK DR
121B2 H027,,,335 LUCILLE ST
124B4 B021,,,335 OAKLAND AVE
173C2 C011,,,335 SOUTHVIEW DR
172C3 A003,,,336 CARR ST
